Game ID,Game Name,Platform,Genre,Release Date,Sales (Million $),Player Count (Million),Region,Age Group,Gender,Rating
GAME00001,Write always.,Xbox,RPG,2021-09-02,56.06,25.41,South America,46+,Male,1
GAME00002,Return.,Nintendo Switch,Adventure,2024-09-04,81.41,41.88,Asia,10-18,Female,8
GAME00003,Vote beautiful.,PC,Sports,2024-08-22,44.51,47.32,Asia,10-18,Male,8
GAME00004,Five operation be.,PC,Sports,2022-07-28,91.69,32.97,Australia,19-25,Male,8
GAME00005,Current above recent.,Xbox,Sports,2018-02-11,79.79,39.5,North America,46+,Female,8
GAME00006,He blue hard.,PC,Adventure,2015-08-09,8.33,7.19,Australia,46+,Male,7
GAME00007,No agent year.,Xbox,Sports,2019-12-25,48.72,25.2,Australia,19-25,Female,2
GAME00008,Quickly boy certain.,PS5,RPG,2015-10-07,44.26,43.58,Asia,19-25,Female,1
GAME00009,Floor.,Xbox,RPG,2017-09-17,96.92,38.79,Asia,36-45,Female,9
GAME00010,Out really.,Xbox,Adventure,2024-09-15,7.1,8.99,Asia,36-45,Female,4
GAME00011,Must discover accept where.,PC,Action,2017-12-10,24.9,6.6,North America,10-18,Male,4
GAME00012,Environmental perhaps.,Xbox,RPG,2024-09-16,36.71,49.58,South America,19-25,Male,1
GAME00013,Develop.,PS5,Action,2022-07-09,12.23,36.15,Asia,46+,Male,3
GAME00014,Question that begin.,Xbox,Action,2023-10-10,77.99,19.13,South America,10-18,Male,1
GAME00015,Growth along.,Mobile,Action,2024-06-11,22.96,38.67,Europe,26-35,Female,8
GAME00016,Senior from.,Mobile,Adventure,2021-05-16,63.77,42.75,Asia,36-45,Male,4
GAME00017,Tree agency get.,Mobile,Shooter,2022-09-24,73.61,29.03,Europe,26-35,Male,3
GAME00018,Discuss join.,PC,Sports,2022-08-03,32.61,45.94,Europe,26-35,Female,4
GAME00019,Drive.,Mobile,Strategy,2023-03-06,6.19,34.99,Australia,36-45,Male,9
GAME00020,Where option soon smile.,Mobile,Adventure,2019-07-28,80.37,31.1,Asia,36-45,Male,6
GAME00021,Executive section edge.,Mobile,Sports,2015-08-04,93.16,31.18,Europe,26-35,Male,10
GAME00022,Position research.,Nintendo Switch,Adventure,2021-02-24,40.18,24.62,Asia,46+,Male,8
GAME00023,I fall door.,Xbox,Strategy,2022-03-15,84.08,1.83,North America,19-25,Female,4
GAME00024,Himself left perform image.,PS5,Adventure,2019-09-17,22.37,13.48,Asia,26-35,Male,3
GAME00025,Do or finally.,PS5,Sports,2014-12-06,73.72,33.4,Asia,46+,Female,1
GAME00026,Dinner per.,Mobile,Strategy,2019-09-11,2.37,24.89,Australia,10-18,Male,6
GAME00027,Perform.,Nintendo Switch,Adventure,2017-01-14,15.76,36.75,Asia,19-25,Male,2
GAME00028,Act answer.,Xbox,Sports,2023-10-15,24.83,28.79,North America,19-25,Female,7
GAME00029,Exist raise part program.,PC,Strategy,2021-09-24,25.38,9.15,South America,19-25,Female,3
GAME00030,Relationship night citizen.,Xbox,RPG,2024-01-02,26.17,33.0,South America,46+,Female,10
GAME00031,Half.,Nintendo Switch,Strategy,2022-01-08,52.73,26.36,Europe,36-45,Female,6
GAME00032,Change speech although.,Nintendo Switch,RPG,2016-08-31,37.96,2.4,Australia,26-35,Male,3
GAME00033,Seat seek.,Xbox,Adventure,2023-08-26,86.93,4.73,Europe,26-35,Female,5
GAME00034,Prevent themselves here.,Nintendo Switch,Adventure,2020-02-17,48.49,26.15,Europe,46+,Male,3
GAME00035,Fall.,Nintendo Switch,Sports,2020-09-24,45.83,5.77,Australia,19-25,Female,6
GAME00036,Once parent responsibility black.,PS5,RPG,2023-05-23,47.42,37.03,South America,46+,Female,7
GAME00037,Cell to company.,Nintendo Switch,Action,2017-07-22,80.72,38.93,Europe,26-35,Male,3
GAME00038,Next culture.,Nintendo Switch,Adventure,2022-09-10,31.66,22.1,Australia,36-45,Male,4
GAME00039,Chair high brother.,PS5,Sports,2020-03-18,38.81,20.62,Australia,19-25,Male,8
GAME00040,Character measure shake.,Mobile,Strategy,2020-02-25,90.07,5.29,North America,36-45,Male,2
GAME00041,Physical off.,Nintendo Switch,Sports,2019-03-12,87.1,16.86,Europe,46+,Female,5
GAME00042,Design tax store.,PC,Adventure,2020-09-10,87.17,18.02,North America,19-25,Female,3
GAME00043,Agency perhaps ahead.,Mobile,RPG,2016-09-14,53.13,4.29,South America,36-45,Female,7
GAME00044,Back hope democratic.,Nintendo Switch,Shooter,2020-11-03,0.74,15.86,North America,36-45,Female,5
GAME00045,Resource forward.,PS5,Shooter,2018-03-23,69.86,16.52,Australia,19-25,Female,4
GAME00046,Never generation.,PC,RPG,2022-02-17,47.07,23.01,South America,26-35,Male,4
GAME00047,Hundred laugh.,PS5,Shooter,2024-09-16,45.08,29.53,South America,10-18,Female,6
GAME00048,Throw word next.,Mobile,Strategy,2020-06-01,49.6,21.91,Europe,10-18,Male,2
GAME00049,Table.,PC,Shooter,2017-11-04,67.68,31.52,Asia,46+,Female,10
GAME00050,Wrong single series.,PS5,Adventure,2021-04-03,18.73,33.31,Asia,26-35,Female,4
GAME00051,Road future so.,PS5,Adventure,2024-07-24,50.42,37.2,North America,10-18,Female,6
GAME00052,Especially crime miss.,Nintendo Switch,Strategy,2017-08-11,36.46,1.49,South America,26-35,Female,8
GAME00053,Hair growth economic.,PC,Strategy,2016-09-01,87.65,21.05,North America,46+,Male,8
GAME00054,Government.,Nintendo Switch,Action,2018-10-07,56.83,7.75,Europe,36-45,Male,10
GAME00055,Boy quality few.,PS5,Adventure,2021-11-08,89.58,32.62,Europe,10-18,Female,4
GAME00056,Media account middle election.,Xbox,Strategy,2024-07-13,82.55,4.65,Europe,10-18,Male,9
GAME00057,Paper heavy age.,Xbox,RPG,2020-06-11,67.6,10.0,Europe,46+,Female,1
GAME00058,Hear.,Nintendo Switch,Shooter,2022-01-13,45.13,23.84,Australia,19-25,Male,3
GAME00059,Feel together your.,Nintendo Switch,Sports,2015-09-27,40.82,26.0,North America,19-25,Female,1
GAME00060,Wind could research.,Nintendo Switch,Strategy,2020-08-24,83.28,16.03,Australia,46+,Male,3
GAME00061,Fast.,PC,Adventure,2022-02-09,87.02,37.46,North America,46+,Male,4
GAME00062,Record one.,Mobile,Action,2023-01-14,74.56,39.89,North America,26-35,Female,3
GAME00063,Activity particular.,Xbox,Shooter,2015-05-10,79.46,8.12,Asia,46+,Female,5
GAME00064,Site six.,Mobile,RPG,2022-06-15,85.06,27.61,North America,10-18,Male,3
GAME00065,Each.,Nintendo Switch,Strategy,2019-09-05,31.86,30.28,Europe,46+,Female,8
GAME00066,Each about foot.,Mobile,Sports,2021-10-16,35.77,8.88,Asia,46+,Male,9
GAME00067,Go particular nice soon.,Nintendo Switch,Strategy,2016-09-13,99.12,40.45,South America,36-45,Male,2
GAME00068,Price in.,PC,Action,2015-11-03,68.82,9.71,Europe,19-25,Female,7
GAME00069,Mother face.,PC,RPG,2023-05-27,98.91,38.18,South America,19-25,Male,5
GAME00070,On management production.,PC,Action,2018-07-30,0.64,18.92,South America,36-45,Male,4
GAME00071,School sell guy.,Nintendo Switch,Shooter,2022-09-22,37.91,41.92,Europe,36-45,Female,2
GAME00072,Sound second.,PC,Adventure,2022-04-09,32.08,30.74,North America,36-45,Male,8
GAME00073,Reflect there tell.,Xbox,RPG,2020-06-10,4.71,34.93,Australia,10-18,Male,3
GAME00074,History everyone thought.,PS5,Shooter,2017-05-02,58.06,24.16,South America,36-45,Male,7
GAME00075,Coach entire well movement.,PC,Shooter,2015-07-23,28.46,20.52,Australia,36-45,Female,2
GAME00076,By conference behind.,Nintendo Switch,Shooter,2015-01-31,24.03,25.96,South America,19-25,Female,3
GAME00077,Idea join.,Xbox,Action,2021-08-31,46.93,1.54,Asia,26-35,Female,3
GAME00078,Nothing wind college.,Nintendo Switch,Strategy,2019-08-15,30.42,16.16,South America,10-18,Female,5
GAME00079,Yourself return.,PS5,Action,2020-12-02,81.62,31.89,South America,10-18,Female,3
GAME00080,Design drop.,Mobile,Shooter,2015-09-08,53.83,2.53,South America,19-25,Male,1
GAME00081,Wrong control trade.,Nintendo Switch,Adventure,2019-07-04,85.81,11.84,South America,46+,Female,1
GAME00082,College owner authority.,Nintendo Switch,Strategy,2016-03-17,64.44,2.26,Europe,46+,Male,8
GAME00083,Some government just girl.,Mobile,Shooter,2015-10-23,62.49,36.9,Europe,36-45,Female,9
GAME00084,Play since.,Nintendo Switch,RPG,2015-06-15,95.37,14.19,Australia,36-45,Male,7
GAME00085,Indicate green common.,PC,Action,2020-03-15,86.44,46.71,Europe,10-18,Female,4
GAME00086,Left service left.,Xbox,Adventure,2022-12-25,97.31,40.29,South America,10-18,Female,3
GAME00087,Week another.,PS5,Strategy,2023-05-30,75.81,23.37,Australia,19-25,Female,3
GAME00088,Night.,PS5,RPG,2017-12-30,26.33,20.54,North America,26-35,Female,2
GAME00089,Young trip.,Nintendo Switch,Sports,2023-11-02,6.56,44.17,South America,36-45,Male,1
GAME00090,Exactly believe yet.,PC,RPG,2017-09-12,78.17,6.66,Australia,19-25,Male,6
GAME00091,Future.,Xbox,Strategy,2024-08-08,88.43,2.27,North America,10-18,Female,1
GAME00092,Up.,Xbox,RPG,2023-05-07,97.84,34.72,South America,36-45,Male,6
GAME00093,Miss.,PC,Sports,2021-06-01,83.15,48.76,North America,19-25,Male,4
GAME00094,Example huge say.,Nintendo Switch,RPG,2015-06-12,77.93,37.56,Asia,46+,Male,2
GAME00095,Management base believe.,Xbox,Sports,2018-01-23,24.77,2.79,North America,10-18,Male,10
GAME00096,Plan prepare material.,Mobile,Action,2015-12-19,11.6,12.48,South America,26-35,Male,3
GAME00097,Staff remain free.,PS5,Sports,2019-06-11,39.23,19.91,North America,46+,Female,3
GAME00098,And us gas.,PS5,Sports,2017-01-28,84.59,22.48,South America,46+,Male,10
GAME00099,Season news see.,PC,RPG,2019-04-21,55.82,14.63,South America,10-18,Female,10
GAME00100,Marriage.,PS5,RPG,2018-05-09,96.15,41.42,Europe,36-45,Female,7
GAME00101,Month down decision.,Nintendo Switch,Sports,2022-06-18,30.77,0.78,North America,19-25,Female,5
GAME00102,Security term adult kid.,Nintendo Switch,Shooter,2022-07-23,96.64,46.66,Asia,36-45,Female,3
GAME00103,Science vote.,Mobile,Strategy,2024-05-05,10.05,29.71,Asia,46+,Female,9
GAME00104,Specific end trade.,Nintendo Switch,Strategy,2023-03-22,49.86,5.35,North America,10-18,Male,7
GAME00105,After participant stand.,PS5,Adventure,2019-11-09,51.59,44.74,South America,10-18,Female,9
GAME00106,Meet star.,PS5,RPG,2018-02-05,57.96,44.36,Australia,19-25,Female,8
GAME00107,Sell myself.,Mobile,Adventure,2020-02-01,6.9,17.76,Europe,36-45,Male,8
GAME00108,Plant theory force.,PS5,Strategy,2023-12-17,91.57,31.59,Australia,46+,Male,5
GAME00109,Behavior.,Nintendo Switch,Strategy,2022-05-24,57.59,29.49,Asia,19-25,Male,7
GAME00110,Home understand beyond.,Nintendo Switch,Strategy,2017-04-17,31.0,48.06,North America,26-35,Male,4
GAME00111,Past report project.,Xbox,Shooter,2014-11-25,20.92,3.08,Australia,46+,Male,3
GAME00112,Picture chair agent.,Mobile,Strategy,2024-08-06,50.1,13.36,Asia,36-45,Female,3
GAME00113,Speak keep.,Mobile,Action,2021-10-26,17.36,31.21,Europe,10-18,Female,3
GAME00114,Against poor skin.,PC,Adventure,2016-08-27,42.79,15.75,North America,10-18,Male,3
GAME00115,Degree Mrs most.,Nintendo Switch,Adventure,2017-05-23,32.5,21.17,Asia,10-18,Female,8
GAME00116,Occur oil while.,Mobile,Strategy,2015-09-21,22.89,30.4,South America,46+,Female,2
GAME00117,Take agent.,Mobile,Shooter,2019-05-03,30.86,28.02,North America,10-18,Male,1
GAME00118,City.,PS5,RPG,2015-10-24,51.34,47.24,Europe,46+,Female,9
GAME00119,Degree charge.,PC,Shooter,2016-08-06,48.29,32.28,South America,46+,Female,9
GAME00120,Tell PM alone.,PS5,Sports,2019-10-24,27.45,5.06,South America,26-35,Male,6
GAME00121,Many trouble.,Xbox,Action,2019-10-23,49.72,35.3,North America,26-35,Male,7
GAME00122,Fact look.,Mobile,Strategy,2022-10-06,11.65,45.01,Europe,46+,Female,6
GAME00123,Serious type subject.,PC,Action,2015-05-11,84.19,40.56,South America,19-25,Male,4
GAME00124,First style understand.,Nintendo Switch,Action,2023-08-19,50.17,27.05,Europe,36-45,Female,7
GAME00125,Better set think.,Xbox,Sports,2020-09-11,82.78,11.35,Europe,36-45,Male,2
GAME00126,Physical four.,PC,RPG,2019-08-24,7.24,8.71,Europe,46+,Male,1
GAME00127,My democratic.,Xbox,Adventure,2017-07-02,99.15,32.51,Europe,46+,Male,5
GAME00128,Other in feel.,Nintendo Switch,Strategy,2023-09-24,80.92,11.94,South America,10-18,Male,9
GAME00129,Force he.,Mobile,RPG,2015-03-09,64.19,15.07,North America,26-35,Female,7
GAME00130,Center after.,PC,Strategy,2019-08-26,33.99,20.88,Australia,19-25,Female,3
GAME00131,Institution PM may car.,Nintendo Switch,Adventure,2024-08-21,17.06,9.85,North America,26-35,Female,2
GAME00132,Soon.,PS5,Strategy,2023-04-20,74.13,32.19,Europe,10-18,Female,4
GAME00133,Although family five.,Nintendo Switch,Adventure,2023-08-31,25.83,5.49,Australia,26-35,Female,2
GAME00134,Pattern wait present certain.,PC,Shooter,2024-01-02,86.68,36.36,Australia,10-18,Male,9
GAME00135,Debate sense.,Xbox,Sports,2020-04-07,31.48,29.07,South America,19-25,Female,7
GAME00136,Big whatever.,Nintendo Switch,Strategy,2024-01-16,37.86,36.55,North America,19-25,Male,7
GAME00137,Hear program ago need.,Mobile,Sports,2024-02-27,52.92,23.36,Asia,26-35,Female,7
GAME00138,Late clear politics.,Mobile,Strategy,2020-04-27,15.67,15.8,Asia,36-45,Female,4
GAME00139,Enjoy weight business.,Nintendo Switch,Adventure,2023-01-18,13.09,19.12,Asia,19-25,Male,6
GAME00140,Begin rest shoulder.,PS5,Strategy,2018-09-10,22.09,22.26,Asia,36-45,Female,10
GAME00141,Boy serve herself.,Mobile,Shooter,2020-03-23,1.69,9.7,Asia,26-35,Male,5
GAME00142,Understand too address partner.,Nintendo Switch,Adventure,2020-12-16,25.37,8.75,Europe,36-45,Male,5
GAME00143,Student represent save.,PS5,Strategy,2016-06-08,2.4,22.74,South America,10-18,Female,1
GAME00144,Recent operation bar.,PC,RPG,2023-10-08,23.3,6.75,North America,46+,Female,6
GAME00145,Leader attention.,Xbox,RPG,2017-01-29,87.44,26.4,South America,19-25,Male,9
GAME00146,Town despite.,Xbox,Action,2018-05-06,22.48,27.73,Europe,19-25,Female,10
GAME00147,What trade.,Mobile,Adventure,2018-07-04,76.14,7.36,Asia,36-45,Female,5
GAME00148,Seven economy ready design.,Mobile,Strategy,2024-08-25,73.48,16.38,North America,10-18,Female,6
GAME00149,Executive entire.,Mobile,Shooter,2015-09-27,16.6,14.23,Asia,46+,Male,3
GAME00150,Your old sit.,Xbox,Sports,2019-02-14,83.3,25.54,Europe,26-35,Male,2
GAME00151,Quickly weight pretty.,Xbox,Action,2018-07-05,73.07,5.54,South America,26-35,Male,6
GAME00152,Together plan enough.,PC,RPG,2017-05-01,30.59,10.87,Europe,36-45,Male,5
GAME00153,Minute about probably society.,Nintendo Switch,Strategy,2015-08-13,26.35,39.77,Europe,10-18,Male,7
GAME00154,Want.,Nintendo Switch,Action,2023-10-18,71.39,43.33,South America,36-45,Female,7
